timestamp,strategy_id,instrument_id,side,price,quantity,realized_pnl,commission
1762301485365113961,SimpleMarketMaker,294973,BUY,6788.00,1,-25.00,2.17
1762301491856613129,SimpleMarketMaker,294973,SELL,6788.25,1,0.00,2.17
1762301523615837793,SimpleMarketMaker,294973,BUY,6788.00,1,12.50,2.17
1762301555628100323,SimpleMarketMaker,294973,SELL,6788.25,1,0.00,2.17
1762301560826352459,SimpleMarketMaker,294973,BUY,6788.25,1,0.00,2.17
1762301570175363777,SimpleMarketMaker,294973,SELL,6788.00,1,0.00,2.17
1762301583356035975,SimpleMarketMaker,294973,BUY,6788.75,1,-37.50,2.17
1762301588214158807,SimpleMarketMaker,294973,SELL,6789.25,1,0.00,2.17
1762301595506245539,SimpleMarketMaker,294973,BUY,6789.00,1,12.50,2.17
1762301597928571779,SimpleMarketMaker,294973,SELL,6789.25,1,0.00,2.17
1762301614148721737,SimpleMarketMaker,294973,BUY,6789.25,1,0.00,2.17
1762301617202924925,SimpleMarketMaker,294973,SELL,6789.50,1,0.00,2.17
1762301627423809477,SimpleMarketMaker,294973,BUY,6789.00,1,25.00,2.17
1762301637101837777,SimpleMarketMaker,294973,BUY,6787.75,1,0.00,2.17
1762301641496510659,SimpleMarketMaker,294973,SELL,6788.75,1,50.00,2.17
1762301652856197711,SimpleMarketMaker,294973,SELL,6788.75,1,0.00,2.17
1762301701486213913,SimpleMarketMaker,294973,BUY,6791.00,1,-112.50,2.17
1762301715835355795,SimpleMarketMaker,294973,SELL,6791.75,1,0.00,2.17
1762301720335300971,SimpleMarketMaker,294973,BUY,6791.50,1,12.50,2.17
1762301725232755969,SimpleMarketMaker,294973,SELL,6792.00,1,0.00,2.17
1762301734551765949,SimpleMarketMaker,294973,BUY,6792.00,1,0.00,2.17
1762301754901366045,SimpleMarketMaker,294973,SELL,6791.00,1,0.00,2.17
1762301755219926255,SimpleMarketMaker,294973,BUY,6790.75,1,12.50,2.17
1762301756195393729,SimpleMarketMaker,294973,SELL,6791.25,1,0.00,2.17
1762301760405522407,SimpleMarketMaker,294973,BUY,6791.50,1,-12.50,2.17
1762301761405118819,SimpleMarketMaker,294973,SELL,6791.75,1,0.00,2.17
1762301771982845317,SimpleMarketMaker,294973,BUY,6791.00,1,37.50,2.17
1762301777145287217,SimpleMarketMaker,294973,SELL,6791.50,1,0.00,2.17
1762301794096321217,SimpleMarketMaker,294973,BUY,6792.25,1,-37.50,2.17
1762301798514784121,SimpleMarketMaker,294973,SELL,6792.25,1,0.00,2.17
1762301801411774679,SimpleMarketMaker,294973,BUY,6791.75,1,25.00,2.17
1762301822131189677,SimpleMarketMaker,294973,SELL,6790.25,1,0.00,2.17
1762301824493838921,SimpleMarketMaker,294973,BUY,6790.00,1,12.50,2.17
1762301829059584355,SimpleMarketMaker,294973,SELL,6790.00,1,0.00,2.17
1762301829338972507,SimpleMarketMaker,294973,BUY,6789.75,1,12.50,2.17
