timestamp,equity,cash,realized_pnl,unrealized_pnl,drawdown,open_position_qty
1762301001036022751,100033.77,100033.77,75.00,0.00,50.52,1
1762301002318381127,100033.77,100033.77,75.00,0.00,50.52,1
1762301003418409399,100033.77,100033.77,75.00,0.00,50.52,1
1762301004423423269,100033.77,100033.77,75.00,0.00,50.52,1
1762301005436044591,100033.77,100033.77,75.00,0.00,50.52,1
1762301006526030575,100033.77,100033.77,75.00,0.00,50.52,1
1762301007750274143,100033.77,100033.77,75.00,0.00,50.52,1
1762301008765043883,100033.77,100033.77,75.00,0.00,50.52,1
1762301009921072593,100033.77,100033.77,75.00,0.00,50.52,1
1762301010966879887,100033.77,100033.77,75.00,0.00,50.52,1
1762301012004112709,100033.77,100033.77,75.00,0.00,50.52,1
1762301013050421987,100033.77,100033.77,75.00,0.00,50.52,1
1762301014057818399,100056.60,100056.60,100.00,0.00,27.69,0
1762301015059099243,100056.60,100056.60,100.00,0.00,27.69,0
1762301016095632675,100056.60,100056.60,100.00,0.00,27.69,0
1762301017128943449,100056.60,100056.60,100.00,0.00,27.69,0
1762301018229271733,100056.60,100056.60,100.00,0.00,27.69,0
1762301019236107827,100056.60,100056.60,100.00,0.00,27.69,0
1762301020525377277,100056.60,100056.60,100.00,0.00,27.69,0
1762301021587696217,100056.60,100056.60,100.00,0.00,27.69,0
1762301022663573057,100056.60,100056.60,100.00,0.00,27.69,0
1762301023750410369,100056.60,100056.60,100.00,0.00,27.69,0
1762301025000435063,100056.60,100056.60,100.00,0.00,27.69,0
1762301026004848261,100056.60,100056.60,100.00,0.00,27.69,0
1762301027035769795,100056.60,100056.60,100.00,0.00,27.69,0
1762301028038081935,100056.60,100056.60,100.00,0.00,27.69,0
1762301029050347863,100056.60,100056.60,100.00,0.00,27.69,0
1762301030207324709,100056.60,100056.60,100.00,0.00,27.69,0
1762301031450620433,100056.60,100056.60,100.00,0.00,27.69,0
1762301032488331457,100056.60,100056.60,100.00,0.00,27.69,0
1762301033540280463,100056.60,100056.60,100.00,0.00,27.69,0
1762301034983343257,100056.60,100056.60,100.00,0.00,27.69,0
1762301036003788343,100039.76,100039.76,87.50,0.00,44.53,0
1762301037036220793,100039.76,100039.76,87.50,0.00,44.53,0
1762301038143783437,100039.76,100039.76,87.50,0.00,44.53,0
1762301039162492325,100039.76,100039.76,87.50,0.00,44.53,0
1762301040190198817,100000.09,100037.59,87.50,-37.50,84.20,1
1762301041214259005,100010.42,100010.42,62.50,0.00,73.87,0
1762301042218416101,100020.75,100008.25,62.50,12.50,63.54,1
1762301043358005681,100020.75,100008.25,62.50,12.50,63.54,1
1762301044398568321,100020.75,100008.25,62.50,12.50,63.54,1
1762301045413526185,100020.75,100008.25,62.50,12.50,63.54,1
1762301046487754829,100020.75,100008.25,62.50,12.50,63.54,1
1762301047491438941,100043.58,100043.58,100.00,0.00,40.71,0
1762301048636348383,100043.58,100043.58,100.00,0.00,40.71,0
1762301049666260039,100043.58,100043.58,100.00,0.00,40.71,0
1762301050821062367,100028.91,100041.41,100.00,-12.50,55.38,1
1762301051832788177,100051.74,100051.74,112.50,0.00,32.55,0
1762301052873106423,100051.74,100051.74,112.50,0.00,32.55,0
1762301053879962701,100062.07,100049.57,112.50,12.50,22.22,1
1762301054880954601,100084.90,100084.90,150.00,0.00,-0.61,0
1762301055894864401,100084.90,100084.90,150.00,0.00,-0.61,0
1762301056935576277,100084.90,100084.90,150.00,0.00,-0.61,0
1762301057959837941,100084.90,100084.90,150.00,0.00,-0.61,0
1762301058963978879,100084.90,100084.90,150.00,0.00,-0.61,0
1762301059979186193,100084.90,100084.90,150.00,0.00,-0.61,0
1762301061012255039,100084.90,100084.90,150.00,0.00,-0.61,0
1762301062075773281,100084.90,100084.90,150.00,0.00,-0.61,0
1762301063079156871,100084.90,100084.90,150.00,0.00,-0.61,0
1762301064364340085,100084.90,100084.90,150.00,0.00,-0.61,0
1762301065500136639,100084.90,100084.90,150.00,0.00,-0.61,0
1762301066583949021,100084.90,100084.90,150.00,0.00,-0.61,0
1762301067620745801,100084.90,100084.90,150.00,0.00,-0.61,0
1762301068644934789,100084.90,100084.90,150.00,0.00,-0.61,0
1762301069790925939,100084.90,100084.90,150.00,0.00,-0.61,0
1762301070794431101,100084.90,100084.90,150.00,0.00,-0.61,0
1762301071868423021,100084.90,100084.90,150.00,0.00,-0.61,0
1762301072916391021,100084.90,100084.90,150.00,0.00,-0.61,0
1762301073916407195,100082.73,100082.73,150.00,0.00,1.56,1
1762301074944680843,100082.73,100082.73,150.00,0.00,1.56,1
1762301076016407709,100070.23,100082.73,150.00,-12.50,14.06,1
1762301077042196635,100093.06,100093.06,162.50,0.00,-8.77,0
1762301078205654309,100093.06,100093.06,162.50,0.00,-8.77,0
1762301079246441495,100090.89,100090.89,162.50,0.00,0.00,1
1762301080246556923,100090.89,100090.89,162.50,0.00,0.00,1
1762301081274950019,100103.39,100090.89,162.50,12.50,0.00,1
1762301082357765211,100113.72,100113.72,187.50,0.00,-10.33,0
1762301083378389279,100113.72,100113.72,187.50,0.00,-10.33,0
1762301084456034289,100113.72,100113.72,187.50,0.00,-10.33,0
1762301085497961597,100113.72,100113.72,187.50,0.00,-10.33,0
1762301086528571653,100113.72,100113.72,187.50,0.00,-10.33,0
1762301087597120393,100113.72,100113.72,187.50,0.00,-10.33,0
1762301088617914191,100113.72,100113.72,187.50,0.00,-10.33,0
1762301089691348843,100099.05,100111.55,187.50,-12.50,4.34,1
1762301090703407405,100086.55,100111.55,187.50,-25.00,16.84,1
1762301091709808101,100086.55,100111.55,187.50,-25.00,16.84,1
1762301092748012865,100061.55,100111.55,187.50,-50.00,41.84,1
1762301093914398963,100061.55,100111.55,187.50,-50.00,41.84,1
1762301094920340683,100061.55,100111.55,187.50,-50.00,41.84,1
1762301096001987627,100061.55,100111.55,187.50,-50.00,41.84,1
1762301097016629523,100061.55,100111.55,187.50,-50.00,41.84,1
1762301098044630069,100096.88,100096.88,175.00,0.00,6.51,0
1762301099092729095,100096.88,100096.88,175.00,0.00,6.51,0
1762301100136116955,100096.88,100096.88,175.00,0.00,6.51,0
1762301101143117559,100096.88,100096.88,175.00,0.00,6.51,0
1762301102181379703,100096.88,100096.88,175.00,0.00,6.51,0
1762301103191647257,100096.88,100096.88,175.00,0.00,6.51,0
1762301104192401963,100096.88,100096.88,175.00,0.00,6.51,0
1762301105358146811,100082.21,100094.71,175.00,-12.50,21.18,1
1762301106406107529,100082.21,100094.71,175.00,-12.50,21.18,1
1762301107419949987,100082.21,100094.71,175.00,-12.50,21.18,1
1762301108464809581,100069.71,100094.71,175.00,-25.00,33.68,1
1762301109562668377,100069.71,100094.71,175.00,-25.00,33.68,1
1762301110563158435,100069.71,100094.71,175.00,-25.00,33.68,1
1762301111564479165,100044.71,100094.71,175.00,-50.00,58.68,1
1762301112649193071,100044.71,100094.71,175.00,-50.00,58.68,1
1762301113707216137,100032.21,100094.71,175.00,-62.50,71.18,1
1762301114726819357,100042.54,100042.54,125.00,0.00,60.85,0
1762301115770599109,100042.54,100042.54,125.00,0.00,60.85,0
1762301116832026683,100042.54,100042.54,125.00,0.00,60.85,0
1762301117960648937,100042.54,100042.54,125.00,0.00,60.85,0
1762301119062987435,100042.54,100042.54,125.00,0.00,60.85,0
1762301120166069557,100042.54,100042.54,125.00,0.00,60.85,0
1762301121219458817,100042.54,100042.54,125.00,0.00,60.85,0
1762301122257629445,100042.54,100042.54,125.00,0.00,60.85,0
1762301123437499645,100027.87,100040.37,125.00,-12.50,75.52,1
1762301124485807797,100015.37,100040.37,125.00,-25.00,88.02,1
1762301125535340717,100002.87,100040.37,125.00,-37.50,100.52,1
1762301126602223935,100002.87,100040.37,125.00,-37.50,100.52,1
1762301127616570913,100002.87,100040.37,125.00,-37.50,100.52,1
1762301128660005769,100002.87,100040.37,125.00,-37.50,100.52,1
1762301129661716643,99990.37,100040.37,125.00,-50.00,113.02,1
1762301130721499029,99990.37,100040.37,125.00,-50.00,113.02,1
1762301131809902497,99977.87,100040.37,125.00,-62.50,125.52,1
1762301132963562505,99965.37,100040.37,125.00,-75.00,138.02,1
1762301133965853055,99940.37,100040.37,125.00,-100.00,163.02,1
1762301134993546947,99940.37,100040.37,125.00,-100.00,163.02,1
1762301136008923389,99940.37,100040.37,125.00,-100.00,163.02,1
1762301137029507423,99963.20,99963.20,50.00,0.00,140.19,0
1762301138090135401,99963.20,99963.20,50.00,0.00,140.19,0
1762301139136855947,99963.20,99963.20,50.00,0.00,140.19,0
1762301140140495145,99961.03,99961.03,50.00,0.00,142.36,1
1762301141217665649,99961.03,99961.03,50.00,0.00,142.36,1
1762301142236868563,99961.03,99961.03,50.00,0.00,142.36,1
1762301143275952459,99983.86,99983.86,75.00,0.00,119.53,0
1762301144446707865,99983.86,99983.86,75.00,0.00,119.53,0
